,comments
700,你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～
701,我后来才知道，柱侯酱=甜面酱
702,听不懂不是有字幕吗 抖什么机灵
703,郝哥（幻视）
704,你干嘛
705,哎哟
706,合影
707,"你就sp,晒油皆"
708,哎呦~~
709,离揍咩啊~~~哈哈~~哎呦~
710,鲲鲲也会疼的
711,鸡～
712,你干嘛~
713,你干嘛~
714,全是油
715,Blbbm n bb m n. KBono bkp bbnbpplkkbnb binomial jbl. L !!  N mn. Bm B ban?  K m bbb
716,你知道的
717,翻译：你他*
718,小黑子！
719,柱侯酱真系粤菜嘅灵魂啊
720,烧
721,鲲鲲！
722,《下一期是个甜品》
723,你再骂
724,截图成功
725,1！2
726,说的什么话啊啊啊啊说普通话哇听不懂啊喂
727,你知道我要说什么
728,悲伤小曲
729,今夕是何年坤流又成为顶流
730,有鸡的地方就有我乐哥
731,1 2
732,为什么我不是广东省的听懂了啊
733,I’m going to be a little late to get my hair done and I will be there in a few minutes if you want  
734,猴赛雷
735,12
736,12
737,为什么大半夜刷到啊！！！
738,坤坤
739,开团
740,对不起，我真没听过（定位四川）
741,露出鸡脚了吧小黑子
742,12
743,12
744,12
745,你干嘛～
746,小黑子，树枝666
747,翻译：蠢逼
748,车大炮
749,起风了不行吗
750,看着都想吃
751,非IKUN人员尽快撤离
752,你干嘛
753,你干嘛～
754,先去跟制食用油的厂子的老板搞好关系
755,有生之年见过最宽的油
756,不腻吗
757,这个皮我好想吃！
758,不是广州人也听懂了
759,哈哈哈哈哈
760,你干嘛～哈嗨哟
761,我听不懂咧
762,做好了？那这只鸡就是我的了
763,李锦记
764,真的很烧
765,刚刚收藏，看到这步骤准备移出收藏夹了
766,你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈哈～哎呦～～你干嘛～～～哈
767,1！5！
768,盖
769,什么都好，就是一句听不懂
770,甘鬼死蠢（）
771,《梅开二度》
772,乐哥？就是跟他钓鱼要戴头盔那个乐哥
773,你干嘛 ~~
774,脑子:我学会了。手:不，你不会。
775,1   2
776,你干嘛啊哈哈哈
777,咩皮？
778,合影
779,烧
780,算了，我买着吃
781,你当我听不懂啊，你明明在骂我！
782, 。  
783,。。 
784,，我的培训呢，不懂哇，在哪里？啊，放一个药给你放。
785,饿了
786,既所以  要一圈。 然烦心，行了都在给。 你暖所以说老公刚才维修。 一个身 。   。  
787, 张什么都已经八分钟，刚左右就开了这个老城队这个保障队员而写   。  不干扰
788,。  你 谢敬我啊，ok，出炉。     大了这个。 11。
789,好王哥哥。    
790,      好他只要一张。 都三     根。了
791,  上 脚给好。   
792,我      你 到了     底。 
793,              。       。
794,                 。    。    
795,额。  。   。    。      。。     
796,.    
797,        .    
798,         .             .          
799,   .              
800,    .. 。.。  .                     . 
801,。。 。。。.。。.。。.。。。.。..。。。。。。。。 。。。。。。。。。。。
802,我听着是在骂我蠢
803,他如果不弄那个弹幕我都不知道他在说啥
804,你干嘛
805,吃过，很油
806,粤菜非常讲究的，所以能成为一个菜系
807,这一大锅油，在家根本不可能做的
808,BGM：ヤキモチ
809,合影
810,合影
811,合影
812,你干嘛
813,@记录生活的蛋黄派
814,合影
815,泪目
816,贴吧梗图出处
817,1！2！
818,失传了你咋知道？
819,你知道我要说什么
820,唯一一次听懂了
821,来个武吃
822,拼音拼得出来吗
823,这要是没字幕完全听不懂
824,意思：怎么这么蠢
825,@南翔
826,PP
827,pp
828,pp
829,大D哥呢？！钓鱼去啊
830,呜呼呜呼真的好满足
831,里面有料 怎么会没味 仔细看了没啊
832,那里不可以
833,BGM起醋了
834,200只几万人抢着吃？几百人抢一只是吧
835,酱啊
836,树枝666
837,小黑子
838,不是应该读柱候酱吗  
839,炸鸡
840,合影
841,合影
842,你干嘛～
843,@唐仁杰
844,bgm  Andalusia
845,这么大口锅，应该是要几只几只的炸，毕竟是要卖的，所以油会多吗
846,你干嘛啊啊~哎呦
847,你知道我要说什么
848,我听懂了(半恼)
849,不忘初心
850,太宵了
851,你写完吗
852,泥过稀陈飞
853,不是不信腿有味道
854,评论区咋有这么多动物？
855,12
856,我们学校烤鸭就这样！贼香！
857,翻译：那你就好鬼死蠢了
858,12
859,宽油
860,没有练习时长两年半我不是很认同
861,饿着肚子硬顶
862,油多才香啊前面的
863,真是溜晒嗨水啊
864,口福坤
865,：/
866,好靓给
867,12
868,要穿过背带裤
869,听不懂的眼睛应该不瞎吧
870,荔枝，荔枝，你让我怎么荔枝（恼）
871,宜家是D鸡唔得了
872,刘醒，昨晚顶噶不反攻啊
873,妙啊
874,可是我搜到了耶
875,好多都没看过呀。
876,烧
877,问题来了：只腌了里面，外面的鸡腿，鸡翼怎么入味？
878,1212
879,犀利
880,你干嘛～哎呦～
881,烧
882,卧槽
883,你干嘛～哈哈～～哎哟～
884,数！一！数！二！的烧！gei
885,用做鸭的方法去造鸡
886,数1数2
887,他尽然在试图教会我
888,sang掉
889,店不开的原因找到了
890,我做丫也行的
891,[ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh]
892,快乐鸡
893,你干嘛~哎呦~
894,赫哥（幻视
895,菜需捆
896,这段bgm是什么
897,柱侯酱不是叉烧酱别瞎说
898,烧！
899,@黑猫厨房
900,。
901,点赞数比粉丝多，厉害啊
902,这鸡真漂亮
903,太难了，新手少说做一百次
904,看鸡，就看坤8
905,合影
906,小黑子
907,坤——坤———
908,关声音吧，没字幕活不了
909,没有一只鸡能走出我们广东，我说的！
910,BGMヤキモチ
911,欺负我听不懂是吧
912,哇，好漂亮呀
913,烧啊
914,giao（幻听）
915,怎么会这么蠢的（不用谢谢我）(≧∇≦)/
916,010
917,我超太烧辣
918,喂养时长两年半的最好（bushi）
919,你干嘛～嗨嗨呦
920,好幽默啊
921,@明日方舟
922,坤—————坤——————
923,你干嘛 哈哈 哎呦 
924,?
925,3
926,修给
927,周晓琳
928,好想吃啊
929,金色传说
930,听不懂 是在说我聪明吗？
931,哈哈哈哈哈
932,就是叉烧酱
933,字幕越看越离谱
934,《你真聪明》
935,快炫我嘴里
936,你知道我要说什么
937,一厨师树脂666
938,可以试试烤箱
939,经典复刻
940,1，2！
941,当我听不懂粤语？(汪汪)
942,BGM：吃醋（不是起风了）
943,纯音乐是吃醋
