title,view_num,danmu,upload_time,up_author,video_url
中国八大菜系之粤菜，粤菜十大名菜，您知道几个？又吃过几个？,7902,,2021/12/27,粤菜介绍,www.bilibili.com/video/BV1kL4y1n7ka?from=search
粤点粤菜粤精彩，三分钟蒸鸡，顺德大厨手把手教你做蒸鸡，粤语中字幕,3.2万,,2022/12/19,Amy爱你的每一天,www.bilibili.com/video/BV1ER4y167yS?from=search
粤菜厨师长教你做一道“姜葱炒蟹”，味道非常正宗,30.8万,,2019/7/20,主厨农国栋,www.bilibili.com/video/BV1xt411n7Pi?from=search
大湾区经典菜豉油鸡，粤菜老师傅是这样子做的,5.8万,,2022/3/24,唐师傅炒菜爱放糖,www.bilibili.com/video/BV1f44y1N7No?from=search
一开盖满屋飘香的生蚝鸡煲，鸡肉鲜香嫩滑，生蚝肥美。 #生蚝鸡煲 #粤菜 #妈呀太香啦,1.6万,,2023/9/18,谁知盘中餐7,www.bilibili.com/video/BV1oC4y1f7d7?from=search
原来正宗粤菜这么好吃！韩国小哥在中国刷新之前粤菜体验,60.1万,,2023/7/14,Iam小方,www.bilibili.com/video/BV1Pj411f7Eo?from=search
粤菜大厨教你一道“砂锅鱼头”，记住这3点做出鲜.嫩.滑的鱼头煲,23.0万,,2019/7/26,主厨农国栋,www.bilibili.com/video/BV1Zt411j7w6?from=search
味‧道 - 粤菜,9153,,2019/6/8,MeowFET,www.bilibili.com/video/BV1T4411T7tq?from=search
越秀二十多年的实惠街坊粤菜，招牌脆皮大肠堪称经典，菜价平均三四十平靓正到家,12.3万,,2022/3/30,毛毛美食指南,www.bilibili.com/video/BV1TZ4y1z7XJ?from=search
广东粤菜经典酱油鸡，记住这个做法，皮爽肉滑鲜香入味，简单家常,3.6万,,2021/11/4,尬瓜美食厨房,www.bilibili.com/video/BV1g44y1i7uu?from=search
来上海不吃本帮菜，粤菜才是真一绝！,11.0万,,2021/8/9,本人曲献平,www.bilibili.com/video/BV1sb4y1z7VP?from=search
